纬度,经度,店名,类型,其他1,其他2,其他3
30.5319499,114.3371091,肯德基,fast_food,,,
30.5317019,114.3378067,麦当劳,fast_food,,,
30.5183544,114.3461303,马房山中学,school,,,
30.5525229,114.3409548,水高食堂,restaurant,,,
30.5402344,114.338566,肖记公安牛肉鱼杂馆,restaurant,,,
30.5529817,114.3405183,,,convenience,,
30.5477145,114.3357309,,restaurant,,,
30.5341783,114.3627128,自强超市,,supermarket,,
30.5340402,114.3621547,珈园小观园,restaurant,,,
30.5242923,114.3582203,武商超市,,supermarket,,
30.5349043,114.3515423,珞珈山,,,,bus_stop
30.5168354,114.3807482,,,convenience,,
30.5247113,114.3585043,珞喻路广埠屯,,,,bus_stop
30.5278019,114.3526915,珞喻路广埠屯,,,,bus_stop
30.5245326,114.3583014,肯德基,fast_food,,,
30.525623,114.3583367,麦当劳,fast_food,,,
30.5285888,114.3539,自强超市,,supermarket,,
30.5340943,114.3544972,八一路珞珈山,,,,bus_stop
30.5340608,114.3556674,八一路珞珈山,,,,bus_stop
30.5251422,114.3577163,牛太郎烧烤,restaurant,,,
30.5250537,114.3578504,傣妹火锅,restaurant,,,
30.5311252,114.3677781,八一路东湖村,,,,bus_stop
30.5308423,114.3680354,八一路东湖村,,,,bus_stop
30.5329315,114.3491673,珞狮路北段,,,,bus_stop
30.5323449,114.3607807,八一路广八路,,,,bus_stop
30.5313768,114.3656162,八一路东湖村,,,,bus_stop
30.5321628,114.3604333,八一路广八路,,,,bus_stop
30.5318498,114.3619304,八一路东湖村,,,,bus_stop
30.5301535,114.3587485,广八路邱家村,,,,bus_stop
30.554411,114.3489536,东湖路中南医院,,,,bus_stop
30.5356396,114.371795,卓刀泉北路风光村,,,,bus_stop
30.5478606,114.3603169,东湖南路武大工学部,,,,bus_stop
30.5371847,114.3719104,东湖南路风光村,,,,bus_stop
30.5367005,114.3727586,东湖东路风光村,,,,bus_stop
30.5392016,114.3897019,东湖东路东湖医院,,,,bus_stop
30.5378416,114.3866746,东湖东路游泳池,,,,bus_stop
30.5476231,114.3522206,东湖南路水生所,,,,bus_stop
30.5457134,114.3649691,东湖南路凌波门,,,,bus_stop
30.5393161,114.3498429,茶港路,,,,bus_stop
